Submission ID,Participants,rCERR,rWERR,sCERR,sWERR
191047,neverix,2.525046972330985,14.967452300785634,-7.719149770961558,-23.140286225729263
191394,MichaelIbrahim,1.0335159160139111,4.628908128908129,-7.783612597320093,-31.858891811423458
190396,MichaelIbrahim,0.8839109331083547,7.884559884559884,-11.459957445773076,-41.62111622554661
191375,MichaelIbrahim,0.6530626016764779,7.345198011864679,-11.38313278633051,-41.18597822711747
190461,MichaelIbrahim,0.6388996582964447,5.932780182780182,-12.71689768357758,-43.615380751456705
191686,lacemaker,0.5672038457387512,3.3985289401956065,-0.6297529180601882,-3.111860010594188
191910,"konstantina_liagkou, manos_papadatos",0.4386488072690063,1.8223304473304474,0.09597078492273185,1.292194092827004
191927,lacemaker,0.40516827830942465,2.6012305595638927,0.0673891797040362,0.9636829415310427
191916,lacemaker,0.40516827830942465,2.6012305595638927,0.0673891797040362,0.9636829415310427
191919,shoji,0.3650370753329554,1.52032227032227,-0.13178790388465647,-0.6881883938845964
191913,lacemaker,0.36183839560870873,2.534411576078243,0.08282604293342799,1.1445147679324894
191828,"konstantina_liagkou, manos_papadatos",0.35815067521740346,1.7519841269841268,0.05240452647533724,1.1384870403857743
191965,"konstantina_liagkou, manos_papadatos",0.3562900247024636,2.21518759018759,0.11710842605581363,1.3924050632911393
191963,"konstantina_liagkou, manos_papadatos",0.3562900247024636,2.21518759018759,0.14593536194470821,1.4715189873417722
191967,"konstantina_liagkou, manos_papadatos",0.3562900247024636,2.21518759018759,0.14593536194470821,1.4715189873417722
191961,"konstantina_liagkou, manos_papadatos",0.3534719892757325,2.030002405002405,0.16259092490273616,1.5619349005424954
191888,shoji,0.35346300125888136,1.52032227032227,-0.10049008777671377,-0.5186585566332402
191923,shoji,0.34869720605190957,1.5996873496873496,-0.17805275841458917,-0.9185434818346212
191921,shoji,0.34869720605190957,1.5996873496873496,-0.10049008777671377,-0.5186585566332402
191925,shoji,0.3461433171128214,1.52032227032227,-0.10049008777671377,-0.5186585566332402
191715,shoji,0.33776251816709385,1.52032227032227,-0.10049008777671377,-0.5186585566332402
191722,shoji,0.33776251816709385,1.52032227032227,-0.10049008777671377,-0.5186585566332402
191174,shoji,0.335447703352279,1.4508778258778257,-0.13231467067577415,-0.7032577127513836
191425,shoji,0.335447703352279,1.4508778258778257,-0.10049008777671377,-0.5186585566332402
191420,shoji,0.335447703352279,1.4508778258778257,-0.11759580108495873,-0.6241437887007507
191646,"konstantina_liagkou, manos_papadatos",0.3335668550607767,1.4607383357383354,-0.31247915034191176,-0.4779485633916014
191418,shoji,0.32001560458684697,1.2286556036556038,-0.13231467067577415,-0.7032577127513836
191432,shoji,0.31655394513214513,1.4508778258778257,-0.10049008777671377,-0.5186585566332402
191648,"konstantina_liagkou, manos_papadatos",0.3141514637900396,1.798480840147507,-0.21433039535068305,0.3486035764516779
191422,shoji,0.31322548113005677,1.3891494308160974,-0.11759580108495873,-0.6241437887007507
191402,"konstantina_liagkou, manos_papadatos",0.3111429239970225,1.6088864838864838,-0.08356622639193291,0.6434599156118146
191177,shoji,0.30797517587975154,1.212782587782588,-0.13231467067577415,-0.7032577127513836
191688,lacemaker,0.30149381626094096,1.5751763668430334,0.06375449613117187,0.6962025316455697
191417,lacemaker,0.30149381626094096,1.5751763668430334,0.06375449613117187,0.6962025316455697
191959,"konstantina_liagkou, manos_papadatos",0.2986596518546994,1.8712722462722462,0.18017179691398794,1.742766726943942
191144,lacemaker,0.2910116359674399,1.524671316337983,0.04937014630378407,0.6962025316455697
190455,lacemaker,0.2910116359674399,1.524671316337983,0.013203781023494733,0.6057866184448464
191412,lacemaker,0.2910116359674399,1.524671316337983,0.04937014630378407,0.6962025316455697
190456,lacemaker,0.2910116359674399,1.524671316337983,0.04937014630378407,0.6962025316455697
190457,lacemaker,0.2910116359674399,1.524671316337983,0.04937014630378407,0.6962025316455697
190448,lacemaker,0.29043246313024706,1.524671316337983,-0.11475939031996356,0.6962025316455697
191847,lacemaker,0.2825883638877467,1.5793851210517877,0.06375449613117187,0.6962025316455697
191824,"konstantina_liagkou, manos_papadatos",0.2818291193636838,1.8908730158730158,0.06784138970472903,1.319318866787221
190447,lacemaker,0.2807235701238185,1.524671316337983,0.04937014630378407,0.6962025316455697
191918,shoji,0.2789463083925949,1.5996873496873496,-0.3257900422278223,-1.4469970957312728
191414,lacemaker,0.27639175292650425,1.4453062369729037,0.06375449613117187,0.6962025316455697
191171,shoji,0.27032085489209723,0.9288319704986372,-0.10049008777671377,-0.5186585566332402
191126,"konstantina_liagkou, manos_papadatos",0.2676487450018007,1.4325396825396823,0.0775503911518208,1.2402049427365882
191170,shoji,0.2609046590352234,0.9288319704986372,-0.17960401182734664,-0.681681188010302
190997,shoji,0.2609046590352234,0.9288319704986372,-0.10049008777671377,-0.5186585566332402
191401,"konstantina_liagkou, manos_papadatos",0.2608945048461643,1.4005531505531505,-0.04179961007383369,0.8333333333333336
191813,"konstantina_liagkou, manos_papadatos",0.2537598561129118,1.5436507936507935,0.09407746024459704,1.4617239300783604
191416,lacemaker,0.24682987633980696,0.9982363315696646,0.005022010678384242,0.3119349005424955
191166,shoji,0.24032852734798063,0.9288319704986372,-0.21692955548200424,-0.8775823332785359
191928,lacemaker,0.23865497434068034,1.6587502004168666,-0.5059152078594032,-2.492237017553473
190582,shoji,0.23101067422462856,0.8227713644380312,-0.14493824678715336,-0.8351142528357719
191001,shoji,0.23062365128328544,0.9288319704986372,-0.10049008777671377,-0.5186585566332402
